City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Broome,US,42.2506,-75.833,29.17,65,100,5.75,overcast clouds
323,Victor Harbor,AU,-35.5667,138.6167,62.01,72,23,1.99,few clouds
324,Nenjiang,CN,49.1833,125.2167,25.02,57,100,16.11,overcast clouds
325,Hay River,CA,60.8156,-115.7999,16.32,88,100,5.01,overcast clouds
326,Shelburne,CA,44.0787,-80.2041,21.9,90,68,18.52,snow
327,Barabinsk,RU,55.3571,78.357,-0.67,87,8,10.63,clear sky
328,Port Blair,IN,11.6667,92.75,82.26,74,72,10.2,broken clouds
329,Atambua,ID,-9.1061,124.8925,77.2,84,100,5.17,overcast clouds
330,Quatre Cocos,MU,-20.2078,57.7625,70.09,72,15,4.99,few clouds
331,Edgewater,US,28.9889,-80.9023,64.42,78,100,14.18,overcast clouds
332,Ramhormoz,IR,31.28,49.6035,63.55,63,0,5.08,clear sky
333,Kashima,JP,33.1061,130.0906,67.75,63,19,4.03,few clouds
334,Maputo,MZ,-25.9653,32.5892,69.48,73,75,21.85,broken clouds
335,Qujing,CN,25.4833,103.7833,59.86,66,5,9.62,clear sky
336,Kyshtovka,RU,56.555,76.6271,-0.38,94,59,12.03,broken clouds
337,Tsuruoka,JP,38.7217,139.8217,56.75,55,83,9.78,broken clouds
338,Yulara,AU,-25.2406,130.9889,76.73,17,9,8.5,clear sky
339,Padang,ID,-0.9492,100.3543,78.85,74,100,3.15,overcast clouds
340,Buala,SB,-8.145,159.5921,83.5,76,49,7.76,light rain
341,Doha,QA,25.2867,51.5333,76.98,61,0,11.5,clear sky
342,Kirn,DE,49.7833,7.45,43.86,91,100,3.4,overcast clouds
343,Upernavik,GL,72.7868,-56.1549,16.36,86,100,9.53,overcast clouds
344,Harper,LR,4.375,-7.7169,71.87,81,40,2.59,light rain
345,Najran,SA,17.4924,44.1277,58.87,39,0,2.44,clear sky
346,Ballina,AU,-28.8667,153.5667,88.79,65,100,11.74,overcast clouds
