City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Caravelas,BR,71.62,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
361,Yala,TH,79.61,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
362,Ambilobe,MG,71.46,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
366,Quelimane,MZ,75.49,clear sky,-17.8786,36.8883,Hotel Flamingo
370,Monrovia,LR,78.94,overcast clouds,6.3005,-10.7969,Sunset Inn
372,Fuerte Olimpo,PY,80.6,clear sky,-21.0415,-57.8738,Hospedaje DAMI
375,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
380,Jeremie,HT,78.51,broken clouds,18.65,-74.1167,Auberge’Inn
381,Waingapu,ID,81.97,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
382,Rokupr,SL,70.43,overcast clouds,8.6717,-12.395,
386,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
388,San Policarpo,PH,83.37,moderate rain,12.1791,125.5072,Agapita M. Nicart
391,Yako,BF,75.11,overcast clouds,12.9667,-2.2667,CADAAY
393,Bengkulu,ID,79.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
394,Sarh,TD,73.74,broken clouds,9.1429,18.3923,Caisse Nationale des Prévoyance Sociale
397,Meulaboh,ID,77.67,overcast clouds,4.1363,96.1285,Kost Pria
402,Mayor Pablo Lagerenza,PY,84.04,overcast clouds,-19.9309,-60.7718,
404,Saint-Pierre,RE,76.57,clear sky,-21.3393,55.4781,Alize Plage
408,Gao,ML,71.96,overcast clouds,16.6362,1.637,
414,Benguela,AO,74.5,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
415,Port Macquarie,AU,93.88,clear sky,-31.4333,152.9167,Rydges Port Macquarie
417,Cockburn Town,TC,81.55,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
418,Manoel Urbano,BR,75.4,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
422,Sorong,ID,84.52,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
423,Surt,LY,71.65,overcast clouds,31.2089,16.5887,فندق المدينة
437,Nhulunbuy,AU,93.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
445,Abu Dhabi,AE,79.97,clear sky,24.4667,54.3667,Beach Rotana
448,Luang Prabang,LA,76.12,overcast clouds,19.8856,102.1347,The Luang Say Residence
450,Aloleng,PH,80.33,overcast clouds,16.1307,119.7824,Aloleng
451,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
455,Zhenhai,CN,72.19,scattered clouds,24.2582,118.0905,In Zhijian Guesthouse
456,Mazatlan,MX,74.01,broken clouds,23.2167,-106.4167,Hotel La Siesta
459,Mae Ramat,TH,81.81,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
465,Gisborne,NZ,74.25,clear sky,-38.6533,178.0042,ASURE Alfresco Motor Lodge
468,Samarai,PG,85.84,broken clouds,-10.6167,150.6667,Nuli Sapi
469,Benjamin Constant,BR,75.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
477,Takoradi,GH,77.27,few clouds,4.8845,-1.7554,Raybow International Hotel
478,Masvingo,ZW,71.28,clear sky,-20.0637,30.8277,River Side Lodge
485,Nagarote,NI,74.95,overcast clouds,12.2659,-86.5647,Hospedaje Nagarote
488,Alyangula,AU,88.11,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
491,Sabya,SA,80.47,clear sky,17.1495,42.6254,Aseel Hotel Apartment
495,Port-Gentil,GA,78.64,light rain,-0.7193,8.7815,Fengshui Residence
498,Basco,PH,80.56,broken clouds,20.4487,121.9702,Nathaniel's Lodge
501,Sinnamary,GF,78.49,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
506,Maragogi,BR,76.01,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
507,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
515,Itoman,JP,81.37,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
517,Kankan,GN,71.4,overcast clouds,10.3854,-9.3057,Hotel Bate
519,Nishihara,JP,80.65,few clouds,26.1842,127.7558,Minshuku Agaihama
520,Martapura,ID,84.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
529,Ugoofaaru,MV,80.11,overcast clouds,5.6667,73.0,Ungoofaaru Inn
537,Karratha,AU,88.32,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
540,Le Port,RE,76.89,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
541,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
543,Soe,ID,73.74,light rain,-9.8607,124.284,Dena Hotel
547,Tutoia,BR,79.12,overcast clouds,-2.7619,-42.2744,Pousada Guará's
551,Moerai,PF,72.36,few clouds,-22.4333,-151.3333,Le Manotel
554,Kundiawa,PG,72.73,overcast clouds,-6.0167,144.9667,Pari
557,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
562,Tabuk,PH,79.9,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
563,Dhidhdhoo,MV,80.71,overcast clouds,6.8833,73.1,Dhidhoo beach
566,Tomatlan,MX,71.42,broken clouds,19.9333,-105.25,El Salvial
567,Poya,NC,78.91,broken clouds,-21.35,165.15,
572,Mareeba,AU,88.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
574,Rockhampton,AU,87.69,broken clouds,-23.3833,150.5,Mercure Rockhampton
576,Qandala,SO,76.3,scattered clouds,11.472,49.8728,
578,Malindi,KE,77.14,light rain,-3.2175,40.1191,African House Resort
579,Purwodadi,ID,84.18,broken clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
581,Dumai,ID,81.5,overcast clouds,1.6833,101.45,Grand Zuri Dumai
582,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Vacation Realty
584,Matina,CR,74.43,overcast clouds,10.0761,-83.2895,Hospedaje Lawson
585,Kigoma,TZ,72.37,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
586,Poum,NC,77.36,overcast clouds,-20.2333,164.0167,
588,Fomboni,KM,79.09,clear sky,-12.28,43.7425,Auberge les abou
589,Poso,ID,84.78,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
594,Dubbo,AU,71.73,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
597,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,Ruby Backpackers
599,Agua Buena,PA,77.76,light rain,7.8167,-80.4,Finca Hato de Guarare
602,Zomba,MW,71.73,clear sky,-15.386,35.3188,Trout Farm Campsite
604,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
608,Mendoza,AR,79.7,clear sky,-32.8908,-68.8272,Hotel Mendoza
609,Barra Patuca,HN,77.92,light rain,15.8,-84.2833,
611,Popondetta,PG,93.54,overcast clouds,-8.7537,148.2534,Timos Transit House
614,Nangomba,TZ,70.81,overcast clouds,-10.9,38.5,
618,Sao Francisco De Assis,BR,73.38,few clouds,-29.5503,-55.1311,Hotel Aguiar
623,Pundaguitan,PH,82.36,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
624,Tautira,PF,74.86,light rain,-17.7333,-149.15,Pension Oaoa
628,Luanda,AO,74.59,light rain,-8.8368,13.2343,EPIC SANA Luanda
630,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
631,Sola,VU,80.08,broken clouds,-13.8833,167.55,Leumerus Bungalows
633,Palauig,PH,83.66,overcast clouds,15.435,119.9045,Villa Raphael Resort
637,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
641,Piacabucu,BR,76.5,broken clouds,-10.4056,-36.4344,Piaçabuçu News
652,Trat,TH,76.05,overcast clouds,12.5,102.5,สวนหนิง-อัศ
653,Iquitos,PE,80.64,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
661,Moussoro,TD,73.44,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
